Date,Open,High,Low,Close,Volume,Adj Close
2016-10-12,69.860001,71.25,69.860001,70.43,2022000,70.43
2016-10-11,70.00,70.239998,69.110001,69.330002,1454200,69.330002
2016-10-10,68.290001,69.940002,68.169998,69.910004,846100,69.910004
2016-10-07,69.07,69.199997,67.889999,68.110001,1197700,68.110001
2016-10-06,68.379997,69.110001,68.169998,69.089996,821400,69.089996
2016-10-05,68.620003,68.839996,67.760002,68.309998,1010900,68.309998
2016-10-04,68.419998,69.620003,68.00,68.709999,1956100,68.709999
2016-10-03,65.599998,67.120003,65.599998,67.089996,1041600,67.089996
2016-09-30,65.599998,66.349998,65.290001,65.860001,884100,65.860001
2016-09-29,66.010002,66.510002,65.269997,65.309998,785000,65.309998
2016-09-28,66.290001,67.699997,66.029999,66.199997,1091100,66.199997
2016-09-27,64.75,66.139999,64.730003,65.989998,1118700,65.989998
2016-09-26,65.620003,65.690002,64.190002,64.599998,1410300,64.599998
2016-09-23,65.730003,66.629997,65.360001,65.769997,2330700,65.769997
2016-09-22,67.050003,67.980003,65.580002,66.040001,2125700,66.040001
2016-09-21,65.830002,66.910004,65.25,66.699997,1320900,66.699997
2016-09-20,65.900002,66.269997,65.489998,65.50,551100,65.50
2016-09-19,65.800003,66.57,65.559998,65.690002,1231800,65.690002
2016-09-16,66.559998,66.870003,65.629997,65.699997,1140400,65.699997
2016-09-15,66.580002,67.400002,65.959999,66.809998,1184700,66.809998
2016-09-14,68.25,68.440002,66.529999,66.650002,1305500,66.650002
2016-09-13,69.57,70.290001,68.150002,68.32,1381500,68.32
2016-09-12,68.349998,70.00,67.690002,69.790001,1170800,69.790001
2016-09-09,70.959999,71.089996,68.860001,68.860001,1359300,68.860001
2016-09-08,70.860001,71.629997,70.779999,71.32,1437900,71.32
2016-09-07,69.279999,71.300003,69.269997,71.029999,1738800,71.029999
2016-09-06,68.25,69.010002,68.019997,69.00,1030000,69.00
2016-09-02,67.260002,68.25,67.260002,68.209999,692600,68.209999
2016-09-01,67.809998,68.440002,67.080002,67.260002,915900,67.260002
2016-08-31,67.43,67.860001,66.50,67.529999,1122900,67.529999
2016-08-30,67.120003,68.330002,66.730003,67.550003,1461600,67.550003
2016-08-29,67.309998,67.620003,66.959999,67.040001,901300,67.040001
2016-08-26,68.190002,68.330002,67.010002,67.269997,956700,67.269997
2016-08-25,67.720001,68.480003,67.68,68.339996,1027200,68.339996
2016-08-24,67.18,68.300003,67.18,67.919998,840800,67.919998
